entity,entity_uuid,revenues_ytd_eur,ebitda_ytd_eur,gross_margin_ytd_eur,gm_vs_ly_eur,gm_vs_budget_eur,cash_position_eom_eur,dso_days,solvency_pct
Gheeraert Distribution NV,50b8e789-57a9-43e6-bc41-ff013fa1589b,7726332.25,496250.07,1742828.63,1169241.72,1740054.34,371745.97,59,-2.64
Gheeraert Garage NV,3aa1a418-c542-4551-bdb5-c8561bced306,1311343.78,97065.60,319143.61,227244.48,230893.81,33485.56,126,44.58
Gheeraert Property NV,a66aa9b9-30e2-4f10-8a0f-cfaf0482fc2c,122663.18,94236.01,122663.18,135373.29,122134.36,-6806104.70,30,14.98
Gheeraert Renting BV,02f54ee9-dfc8-4bb6-b028-75ee1e802d28,878793.98,732839.48,822681.91,,687510.74,210324.13,103,27.46
Gheeraert Shared Services BV,fb2e17cd-132d-438a-8985-90a0377914fa,493750.01,-33152.70,445963.62,439722.36,487516.79,5850.39,63,1.56
Gheeraert Transport NV,85ae21c6-ca21-45a8-82fe-65269e1051e7,4999854.42,-432398.91,1084837.34,1876856.84,1665295.82,44936.55,64,-0.16
Trans-Form BV,7d2bb7fd-28ca-4cce-abf6-f68811fdb8ad,40128.51,15757.43,40128.51,33645.91,,18634.34,134,69.08
Transport De Rudder BV,50645d2d-95dc-4ddc-81ec-1ab48839401a,1618287.77,-161216.51,368092.54,,442661.01,10750.79,45,-9.38
Warehouse BV,9332f131-2ecd-4122-b0af-b50106d85792,5302498.68,-643699.88,808280.71,,1430557.83,2531006.82,145,52.01
